ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,title,Distance,Stream,Species,Sex,lat_Location,long_Location,accuracy_Location,UTM_Northing_Location,UTM_Easting_Location,UTM_Zone_Location,Notes,15_Photo,Type,Carcass_Location,Predation,Length_Inches,Width_Inches,Carcass_Age,Spawning_Success,Adipose_Fin,Activity
1ca091fe-616f-4a44-be67-773aeba95af1,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:25:53.663Z,2022-11-08T22:00:09.000Z,"1925 Chum Live",1925,"Piper's Creek",Chum,Male,47.710924,-122.371945,10,5284362,547111,10T,,,Live,,,,,,,,
796e01e6-f192-4f3b-9587-d296bba409da,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:25:39.973Z,2022-11-08T22:00:07.000Z,"1925 Chum Live",1925,"Piper's Creek",Chum,Male,47.710929,-122.371955,27,5284363,547110,10T,,,Live,,,,,,,,
17a350b7-bd7e-46bc-a742-10bb1d7246a9,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:25:33.627Z,2022-11-08T22:31:31.000Z,"1925 Chum Live",1925,"Piper's Creek",Chum,Female,47.71093,-122.371869,5,5284363,547116,10T,,,Live,,,,,,,,
4f8c5f8d-0aca-4ab1-813b-fc8a455491f2,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:25:25.739Z,2022-11-08T22:32:21.000Z,"1585 Chum Dead",1585,"Piper's Creek",Chum,Female,47.711246,-122.373359,6,5284397,547004,10T,,,Dead,"In creek",Yes,26,6,"Greater than 24 hours",Spawned,,
378ec17a-1f22-49dd-8764-669bb3a8b185,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:25:11.188Z,2022-11-08T22:31:28.000Z,"1925 Chum Live",1925,"Piper's Creek",Chum,Female,47.710897,-122.371846,5,5284359,547118,10T,,,Live,,,,,,,,
5ff9e6a9-5fa7-4cc4-afb0-ae7d0c612dff,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:24:53.648Z,2022-11-08T22:00:06.000Z,"1925 Chum Live",1925,"Piper's Creek",Chum,Male,47.710956,-122.371743,24,5284366,547126,10T,,,Live,,,,,,,,
d2630635-a49f-459d-afd8-fb1ec34be076,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:23:37.233Z,2022-11-08T22:32:19.000Z,"1560 Coho Dead",1560,"Piper's Creek",Coho,Female,47.711267,-122.373484,8,5284399,546995,10T,,,Dead,"In creek","Eye loss",21,5.5,"1-12 hours",Unspawned,Yes,
ef46364b-93be-4e13-addd-f3887ad43565,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:23:30.888Z,2022-11-08T22:00:04.000Z,"1900 Chum Live",1900,"Piper's Creek",Chum,Male,47.710928,-122.371986,20,5284362,547108,10T,,,Live,,,,,,,,
42c3208c-d15b-42da-8203-04aa78d8b369,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:22:55.896Z,2022-11-08T22:31:26.000Z,"1910 Coho Live",1910,"Piper's Creek",Coho,Female,47.710883,-122.371924,5,5284357,547112,10T,"on a redd?",,Live,,,,,,,,
9d29c0ca-93c9-4a36-86e1-8477c3463e9c,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:22:35.853Z,2022-11-08T22:00:02.000Z,"1900 Chum Live",1900,"Piper's Creek",Chum,Male,47.711073,-122.372049,13,5284378,547103,10T,,,Live,,,,,,,,
52988469-5ea9-4e94-a2cd-b4961d324200,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:22:24.257Z,2022-11-08T22:00:00.000Z,"1900 Chum Live",1900,"Piper's Creek",Chum,Male,47.711082,-122.371999,13,5284379,547106,10T,,,Live,,,,,,,,
1f07b752-9a66-4b6c-9626-283cf2b4a58b,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:22:12.710Z,2022-11-08T21:59:59.000Z,"1900 Chum Live",1900,"Piper's Creek",Chum,Male,47.711106,-122.371984,17,5284382,547108,10T,,,Live,,,,,,,,
49137330-6bdc-498c-a6d0-db1bd1acc954,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:22:08.021Z,2022-11-08T22:31:24.000Z,"1900 Chum Live",1900,"Piper's Creek",Chum,Female,47.710898,-122.371986,5,5284359,547108,10T,,,Live,,,,,,,,
c32b564e-e3f8-44b7-a470-a160b7ec97a5,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:21:53.676Z,2022-11-08T22:25:05.000Z,"1900 Chum Live",1900,"Piper's Creek",Chum,Female,47.710893,-122.37198,5,5284358,547108,10T,,,Live,,,,,,,,
daf959a8-cf11-4946-938f-6e46be33c436,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:21:50.137Z,2022-11-08T21:59:57.000Z,"1900 Chum Live",1900,"Piper's Creek",Chum,Male,47.711139,-122.372136,23,5284386,547096,10T,,,Live,,,,,,,,
def3dcc9-3480-4842-a2ba-ec4a80312c07,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:21:39.048Z,2022-11-08T22:24:59.000Z,"1900 Chum Live",1900,"Piper's Creek",Chum,Female,47.710849,-122.37202,7,5284354,547105,10T,,,Live,,,,,,,,
5902eb35-aa41-44fc-99ab-100ebff4c7c9,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:21:37.279Z,2022-11-08T22:32:17.000Z,"1540 Coho Dead",1540,"Piper's Creek",Coho,Female,47.711304,-122.37351,7,5284403,546993,10T,,,Dead,"On creek bank",Yes,19,5,"12-24 hours",Unspawned,Yes,
d9852e9e-00f1-467d-9a15-a63d578b5941,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:20:20.216Z,2022-11-08T21:59:55.000Z,"1875 Chum Live",1875,"Piper's Creek",Chum,Male,47.710888,-122.37215,5,5284358,547095,10T,,,Live,,,,,,,,
26f16d01-d43d-44c2-a5d0-485b7d18159a,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:20:05.820Z,2022-11-08T21:59:54.000Z,"1875 Chum Live",1875,"Piper's Creek",Chum,Male,47.71087,-122.372125,5,5284356,547097,10T,,,Live,,,,,,,,
30177a2f-962f-4f46-86f6-b7217f4653d4,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:19:48.865Z,2022-11-08T22:32:15.000Z,"1506 Chum Dead",1506,"Piper's Creek",Chum,Male,47.711351,-122.373552,10,5284408,546990,10T,,,Dead,"Outside of creek",Yes,24.5,5,"Greater than 24 hours",Spawned,,
761ce2e2-b999-4e56-bea0-2a78d7235c8c,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:19:32.171Z,2022-11-08T21:59:52.000Z,"1875 Chum Live",1875,"Piper's Creek",Chum,Male,47.710869,-122.37213,16,5284356,547097,10T,,,Live,,,,,,,,
63a83de1-98de-4b26-a907-60acd43ce5ee,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:19:25.845Z,2022-11-08T22:24:57.000Z,"1875 Chum Live",1875,"Piper's Creek",Chum,Female,47.710835,-122.372214,5,5284352,547091,10T,,,Live,,,,,,,,
354d6a0a-30c0-4330-b339-fa3f423b8988,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:19:10.897Z,2022-11-08T22:24:54.000Z,"1875 Chum Live",1875,"Piper's Creek",Chum,Female,47.710849,-122.372238,5,5284353,547089,10T,,,Live,,,,,,,,
e34f79c4-e79d-46aa-997a-dd985984a2c2,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:19:05.514Z,2022-11-08T21:59:50.000Z,"1875 Chum Live",1875,"Piper's Creek",Chum,Male,47.710863,-122.372115,64,5284355,547098,10T,,,Live,,,,,,,,
16bb6d53-2d1b-4078-9eb3-a9dba508981a,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:18:53.627Z,2022-11-08T22:24:53.000Z,"1875 Chum Live",1875,"Piper's Creek",Chum,Female,47.7109,-122.372157,5,5284359,547095,10T,,,Live,,,,,,,,
917e7ac8-1111-4018-9d23-15ac3a6338a4,480f58cc-0b99-4487-95e0-75a2a14a7001,2022-11-08T20:17:42.904Z,2022-11-08T22:32:13.000Z,"1480 Coho Dead",1480,"Piper's Creek",Coho,Male,47.711378,-122.373621,11,5284411,546984,10T,,,Dead,"In creek",No,20,5,"1-12 hours",Unspawned,Yes,
